error,time
-0.03515625,1644086984.9401994
-0.03515625,1644086984.9451873
-0.03515625,1644086984.9501727
-0.03515625,1644086984.9541614
-0.08823529411764708,1644086984.9591494
-0.08823529411764708,1644086984.9621403
-0.08823529411764708,1644086984.966129
-0.08823529411764708,1644086984.9691226
-0.10256410256410253,1644086984.976105
-0.10256410256410253,1644086984.980092
-0.10256410256410253,1644086984.9830837
-0.11290322580645162,1644086984.990065
-0.11290322580645162,1644086984.9930592
-0.11290322580645162,1644086984.997048
-0.11290322580645162,1644086985.001037
-0.11359026369168357,1644086985.0080166
-0.11359026369168357,1644086985.0110118
-0.11359026369168357,1644086985.0149994
-0.11359026369168357,1644086985.020983
-0.1260162601626016,1644086985.0249734
-0.1260162601626016,1644086985.0289624
-0.1260162601626016,1644086985.0319536
-0.12778904665314406,1644086985.0379374
-0.12778904665314406,1644086985.0429235
-0.12778904665314406,1644086985.0459166
-0.12778904665314406,1644086985.0499065
-0.13034623217922603,1644086985.0548916
-0.13034623217922603,1644086985.0588827
-0.13034623217922603,1644086985.0628703
-0.12317327766179542,1644086985.0668602
-0.12317327766179542,1644086985.0728438
-0.12317327766179542,1644086985.076833
-0.12317327766179542,1644086985.0798256
-0.12526096033402923,1644086985.0848136
-0.12526096033402923,1644086985.0917933
-0.13389121338912136,1644086985.0977771
-0.13389121338912136,1644086985.1007693
-0.13389121338912136,1644086985.106753
-0.13389121338912136,1644086985.110744
-0.13389121338912136,1644086985.1147323
-0.13389121338912136,1644086985.117724
-0.13389121338912136,1644086985.1237082
-0.12168141592920356,1644086985.1286948
-0.12168141592920356,1644086985.1326847
-0.12168141592920356,1644086985.1376708
-0.12168141592920356,1644086985.141661
-0.11990950226244346,1644086985.1466475
-0.11990950226244346,1644086985.1496391
-0.11990950226244346,1644086985.1556234
-0.14645308924485123,1644086985.1606095
-0.14645308924485123,1644086985.1636019
-0.14645308924485123,1644086985.1675923
-0.14645308924485123,1644086985.1735752
-0.14883720930232558,1644086985.1785607
-0.14883720930232558,1644086985.1815538
-0.14883720930232558,1644086985.1855428
-0.15201900237529686,1644086985.1925244
-0.15201900237529686,1644086985.1955183
-0.15201900237529686,1644086985.2005033
-0.15714285714285714,1644086985.2104766
-0.15714285714285714,1644086985.2164617
-0.1774580335731415,1644086985.2254364
-0.1774580335731415,1644086985.229426
-0.1774580335731415,1644086985.2334144
-0.18446601941747576,1644086985.2403963
-0.18446601941747576,1644086985.2443862
-0.18446601941747576,1644086985.2483752
-0.18446601941747576,1644086985.251367
-0.18069306930693074,1644086985.25835
-0.18069306930693074,1644086985.2613413
-0.18069306930693074,1644086985.2653296
-0.17512690355329952,1644086985.272312
-0.17512690355329952,1644086985.2763011
-0.17512690355329952,1644086985.2802896
-0.17268041237113407,1644086985.2852764
-0.17268041237113407,1644086985.2922573
-0.17268041237113407,1644086985.297244
-0.2126582278481013,1644086985.3022308
-0.2126582278481013,1644086985.3092122
-0.2126582278481013,1644086985.315197
-0.21319796954314718,1644086985.32118
-0.21319796954314718,1644086985.3261666
-0.21319796954314718,1644086985.3301563
-0.20157068062827221,1644086985.3351426
-0.20157068062827221,1644086985.3421242
-0.20157068062827221,1644086985.3461134
-0.18598382749326148,1644086985.3501036
-0.18598382749326148,1644086985.357085
-0.18598382749326148,1644086985.3610728
-0.19034852546916892,1644086985.3650627
-0.19034852546916892,1644086985.3720446
-0.19034852546916892,1644086985.376034
-0.12790697674418605,1644086985.3800228
-0.12790697674418605,1644086985.3840122
-0.12790697674418605,1644086985.3899958
-0.12790697674418605,1644086985.3949826
-0.10271903323262843,1644086985.3979766
-0.10271903323262843,1644086985.4039598
-0.10271903323262843,1644086985.4079478
-0.07120743034055732,1644086985.412935
-0.07120743034055732,1644086985.4169238
-0.07120743034055732,1644086985.422909
-0.029032258064516148,1644086985.4268975
-0.029032258064516148,1644086985.4308875
-0.029032258064516148,1644086985.4338784
-0.029032258064516148,1644086985.439864
-0.019607843137254943,1644086985.4448495
-0.019607843137254943,1644086985.4488385
-0.019607843137254943,1644086985.4528282
0.013377926421404673,1644086985.459809
0.013377926421404673,1644086985.4637992
0.013377926421404673,1644086985.4677887
0.030000000000000027,1644086985.4737723
0.030000000000000027,1644086985.4787588
0.030000000000000027,1644086985.4817507
0.026666666666666616,1644086985.4887319
0.026666666666666616,1644086985.492722
0.026666666666666616,1644086985.4967105
0.026666666666666616,1644086985.5007012
0.04635761589403975,1644086985.5066855
0.04635761589403975,1644086985.5116704
0.04635761589403975,1644086985.5156603
0.04635761589403975,1644086985.5206482
0.023489932885906062,1644086985.5256333
0.023489932885906062,1644086985.528626
0.023489932885906062,1644086985.533613
0.023569023569023573,1644086985.539596
0.023569023569023573,1644086985.5435858
0.023569023569023573,1644086985.5475752
0.01016949152542368,1644086985.5525615
0.01016949152542368,1644086985.558546
0.01016949152542368,1644086985.5625355
0.026936026936026924,1644086985.5665233
0.026936026936026924,1644086985.5725083
0.026936026936026924,1644086985.5774944
0.026936026936026924,1644086985.5804875
0.003424657534246589,1644086985.5844765
0.003424657534246589,1644086985.5904603
0.003424657534246589,1644086985.5944488
-0.01718213058419249,1644086985.6004336
-0.01718213058419249,1644086985.609411
-0.03125,1644086985.615394
-0.03125,1644086985.6193836
-0.03125,1644086985.6243684
-0.03125,1644086985.6273618
-0.05102040816326525,1644086985.633346
-0.05102040816326525,1644086985.6393301
-0.05102040816326525,1644086985.6443152
-0.06597222222222221,1644086985.648305
-0.06597222222222221,1644086985.6552863
-0.06597222222222221,1644086985.6592753
-0.1188118811881188,1644086985.6642618
-0.1188118811881188,1644086985.6682513
-0.1188118811881188,1644086985.674235
-0.09375,1644086985.6792219
